COD_ELEMENTO;IDE_EVENTO;MANIOBRA;IDE_CODIGO_CLASE;NOM_CODIGO;ANIO;MES;DIA;DUR_H;PROM_H;NUM_APERTURAS
R-003;1221935;654012;Trabajo en Subestaciones Remodelación y Reposición;TRABAJOS SUBESTACIONES PROGRAMA ANUAL DE REPOSICIÒN/REMODELACIÒN;2023;11;30;0.091;0.091;1
304-27;1194360;549733;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;1;18;0.049;0.049;1
206-24;1196864;561465;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;2;19;0.014;0.014;1
307-24;1210329;626801;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;7;19;0.004;0.004;1
QURQ0036;1217075;645960;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;10;1;5.397;5.397;1
R-093;1218515;648062;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;10;13;0.001;0.001;1
CARN0832;1196720;561311;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;2;18;11.107;11.107;1
206-24;1201085;589975;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;31;0.001;0.001;1
S-721;1204153;608590;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;5;1;2.783;2.783;1
R-106;1209108;616595;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;7;4;0.005;0.005;1
S-1666;1210481;627634;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;7;19;41.879;41.879;1
112-23;1210948;628020;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;7;23;0.049;0.049;1
205-25;1217004;645835;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;9;30;0.001;0.001;1
109-29;1219551;650360;Trabajo en Subestaciones Remodelación y Reposición;TRABAJOS SUBESTACIONES PROGRAMA ANUAL DE REPOSICIÒN/REMODELACIÒN;2023;10;30;0.389;0.389;1
MORP0439;1221135;652271;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;11;15;0.472;0.472;1
S-2060;1198394;568166;Interrupciones No Programadas no Excluibles;APERTURA POR DEFECTO EN CORTACIRCUITO;2023;3;7;0.4;0.4;1
S-928;1199337;583931;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;3;19;47;47;1
ARRP0335;1202355;605741;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;4;11;0.553;0.553;1
R-106;1205729;610922;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;5;21;0.004;0.004;1
QURQ0347;1209222;622463;Interrupciones No Programadas no Excluibles;APERTURA POR ANIMALES SOBRE LINEAS;2023;7;6;0.699;0.699;1
ARRP0042;1209345;622509;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;7;6;0.97;0.97;1
MORQ0032;1216872;645625;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;28;5.149;5.149;1
QURQ0033;1217394;646383;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;10;4;2.921;2.921;1
