FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
30748978;ARRQ0203;30;RST;-75,73784739;4,50154237;ARMENIA;VR PUERTO ESPEJO FC  LINDARETA;111-24-;EDEQ;S-2208;30748677
30748979;MORQ0268;50;SN;-75,78677778;4,514555556;MONTENEGRO;VA 11 CASAS SEGUIDO DE POLIDEPORTIVO;111-24-;EDEQ;R-026;30748731
30748980;MORP0660;15;ST;-75,79750766;4,513709798;MONTENEGRO;VR PUEBLO TAPAO FCA COLIBRI;111-24-;PARTICULAR;R-026;30748731
30748981;MORP0277;15;TN;-75,80437881;4,515127791;MONTENEGRO;VR ONCE CASAS FC PARAISO;111-24-;PARTICULAR;R-026;30748731
30748982;MORP0276;15;RS;-75,80297146;4,515237418;MONTENEGRO;VR PUEBLO TAPAO FC VL LAURA;111-24-;PARTICULAR;R-026;30748731
30748984;ARRP0215;15;RST;-75,74111196;4,514838191;ARMENIA;FC M KATTY VDA ZULEYBAR;111-24-;EDEQ;C-0276;30748662
30748985;MORP0274;15;RS;-75,80202822;4,515248411;MONTENEGRO;VDA PUEBLO TAPAO FC EL BISCOCHO;111-24-;PARTICULAR;R-026;30748731
30748986;ARRP0290;30;RST;-75,77053108;4,483138934;ARMENIA;VDA TOLON FC CAMBALACHE;111-24-;PARTICULAR;S-768;30748688
30748987;MORP0342;30;RST;-75,79227959;4,512375132;MONTENEGRO;VR PUEBLO TAPAO FC LA BETULIA;111-24-;PARTICULAR;R-026;30748731
30748988;MORP0321;30;RST;-75,85736731;4,510504272;MONTENEGRO;VR MONTA?A FC LA HERMOSA;111-24-;PARTICULAR;S-625;30748705
30748989;ARRP0804;75;RST;-75,72588092;4,51556386;ARMENIA;COND PORTUGAL PTO ESPEJO;111-24-;PARTICULAR;C-0276;30748662
30748990;ARRP0202;15;RST;-75,73530316;4,503657698;ARMENIA;FC LA ILUSION VR DULCERITA;111-24-;EDEQ;S-2208;30748677
30748992;ARRP0806;25;RN;-75,74993981;4,515589468;ARMENIA;VR LA REVANCHA FC TROCADEROS ANT COMCEL;111-24-;PARTICULAR;S-461;30748692
30748993;ARRQ0745;37,5;TN;-75,74339856;4,512732319;ARMENIA;VR ZULEYBAR FC VILLA LAURA;111-24-;EDEQ;S-424;30748683
30748994;MORP0304;300;RST;-75,84386753;4,509485053;MONTENEGRO;VR URANIA FC LA BETULIA;111-24-;PARTICULAR;S-1319;46743325
30748995;ARRQ0256;10;TN;-75,7543101;4,511980289;ARMENIA;VR LA REVANCHA ENSEG FC CAMORKANDA;111-24-;EDEQ;C-0658;39308735
30748996;ARRN0837;10;RT;-75,71837932;4,514271452;ARMENIA;VR PUERTO ESPEJO URB. LA PAZ;111-24-;EDEQ;S-1902;30748685
30748997;ARRP0270;30;RST;-75,77149729;4,509566899;ARMENIA;FC LA ESMERALDA VR LA REVANCHA;111-24-;PARTICULAR;S-1280;30748717
30748998;ARRP0587;15;ST;-75,77888435;4,508018845;ARMENIA;VR REVANCHA FC MONACO;111-24-;EDEQ;S-779;30748709
30748999;ARRP0278;30;RST;-75,7799439;4,503374668;ARMENIA;VDA LA REVANCHA FC LA CARMELITA;111-24-;PARTICULAR;S-779;30748709
30749000;ARRQ0223;25;ST;-75,74498372;4,519800541;ARMENIA;FC LA AUSTRALIA VDA LA INDIA;111-24-;EDEQ;S-422;30748687
30749001;ARRN0834;5;ST;-75,75752975;4,51098265;ARMENIA;VR LA EVANCHA FC FONSILES;111-24-;EDEQ;C-0658;39308735
30749002;ARRP0199;30;RST;-75,723809;4,511676135;ARMENIA;FC LA DULCERA VR PTO ESPEJO;111-24-;PARTICULAR;S-2206;30748681
30749004;MORP0290;10;TN;-75,81512923;4,512871044;MONTENEGRO;VR ONCE CASAS FC PORVENIR;111-24-;PARTICULAR;C-0244;30748660
30749005;MORQ0325;15;ST;-75,86601728;4,506368035;MONTENEGRO;VR MONTA?A FC EL VERGEL;111-24-;EDEQ;S-2080;30748701
30749007;ARRP0633;15;RS;-75,7629607;4,486603282;ARMENIA;FCA VILLA SERENA  VDA MURILLO;111-24-;PARTICULAR;C-0359;30748659
30749008;MORN0679;15;ST;-75,79662713;4,514878943;MONTENEGRO;VR ONCE CASAS FC LOS CIRUELOS;111-24-;PARTICULAR;R-026;30748731
30749009;ARRP0262;20;RST;-75,75955555;4,50322222;ARMENIA;FC EL REPOSO VR LA REVANCHA;111-24-;PARTICULAR;S-464;30748704
30749010;ARRQ0272;5;TN;-75,77519049;4,508222859;ARMENIA;VR LA REVANCHA FC EL DIAMANTE;111-24-;EDEQ;S-1280;30748717
30749011;MORP0546;30;RST;-75,78265363;4,507954174;MONTENEGRO;FCA EL SINU VDA PUEBLOTAPAO;111-24-;PARTICULAR;S-601;30748716
30749012;ARRP0232;112,5;RST;-75,76703318;4,530274847;ARMENIA;VR LA INDIA FC LA HABANA;111-24-;PARTICULAR;S-2097;30748698
30749013;ARRP0304;30;RST;-75,76133023;4,485588673;LA TEBAIDA;VR MURILLO FC BETULIA;111-24-;PARTICULAR;C-0359;30748659
