FID;G3E_FNO;X_INICIAL;Y_INICIAL;X_FINAL;Y_FINAL
31095975;19000;-75,69200444;4,505402387;-75,69200444;4,505402387
31095981;19000;-75,68873636;4,5119776;-75,68873636;4,5119776
31082507;19000;-75,68320488;4,530988082;-75,68320751;4,531026961
31082514;19000;-75,68048418;4,531527949;-75,68048418;4,531527949
31082520;19000;-75,68048418;4,531527949;-75,68022414;4,531840244
31082525;19000;-75,69494283;4,530570434;-75,69488735;4,530373244
31082532;19000;-75,69513519;4,530791391;-75,69494283;4,530570434
31082539;19000;-75,6812902;4,532591765;-75,68064476;4,532814716
31082545;19000;-75,68404734;4,528553308;-75,68404734;4,528553308
31082553;19000;-75,67489736;4,535605171;-75,67469614;4,535780163
31082559;19000;-75,68333787;4,532285647;-75,68335799;4,532265532
31095866;19000;-75,69713447;4,503571532;-75,69713447;4,503571532
31095872;19000;-75,69535031;4,504807585;-75,69587556;4,504766096
31095879;19000;-75,69579545;4,504256963;-75,69579545;4,504256963
31095885;19000;-75,68893532;4,518652569;-75,68890682;4,518009736
31095891;19000;-75,68918709;4,511340207;-75,68924746;4,51133309
31095899;19000;-75,68821942;4,519932228;-75,68821942;4,519932228
31095905;19000;-75,69447777;4,505097928;-75,69424669;4,504867858
31095911;19000;-75,69456136;4,505193917;-75,69456136;4,505193917
31095921;19000;-75,68894234;4,51781001;-75,68917935;4,517289733
31095846;19000;-75,68910682;4,516114331;-75,68935488;4,516413144
31095852;19000;-75,69095592;4,500645082;-75,69105565;4,500305351
31095788;19000;-75,68821403;4,519924985;-75,688537;4,519677897
31095794;19000;-75,68952329;4,510767685;-75,68938569;4,510645375
31095801;19000;-75,69721988;4,504135823;-75,69722518;4,504190076
31095807;19000;-75,688528;4,519671552;-75,68839387;4,519625187
31095813;19000;-75,69543942;4,501988925;-75,69543942;4,501988925
31095822;19000;-75,69891258;4,491683917;-75,6988222;4,491364615
31095829;19000;-75,69624103;4,504429582;-75,6962783;4,504729798
31095836;19000;-75,69631183;4,503673026;-75,69631183;4,503673026
31095765;19000;-75,69135238;4,506283492;-75,69185397;4,506370336
31095772;19000;-75,6902374;4,503315173;-75,69040515;4,502735094
31095780;19000;-75,68910054;4,516100759;-75,68910054;4,516100759
31103624;19000;-75,67835425;4,530768034;-75,67835425;4,530768034
31103631;19000;-75,68559061;4,522376228;-75,68559783;4,522372625
31103538;19000;-75,68063308;4,529055676;-75,68057644;4,528996803
31103545;19000;-75,68904949;4,528676872;-75,68904949;4,528676872
31103552;19000;-75,67766018;4,531451951;-75,67733171;4,531745127
31103559;19000;-75,67791084;4,5275985;-75,67791084;4,5275985
31103570;19000;-75,68161241;4,528058604;-75,6815863;4,528052225
31103577;19000;-75,67830455;4,528978835;-75,67790278;4,529443638
31103583;19000;-75,68362706;4,523173423;-75,68362706;4,523173423
31103589;19000;-75,6745333;4,529613374;-75,67415213;4,529206717
31103596;19000;-75,67830095;4,52897702;-75,67829914;4,528978825
31103603;19000;-75,67732631;4,531739692;-75,67731187;4,53175232
31103837;19000;-75,67790278;4,529443638;-75,67738501;4,528865852
31103844;19000;-75,68980484;4,528449603;-75,69003273;4,528459986
31103851;19000;-75,69290086;4,526186393;-75,69290086;4,526186393
31103874;19000;-75,67918225;4,522750771;-75,67796997;4,523092862
31103678;19000;-75,68366506;4,527314026;-75,68401819;4,527312901
31103692;19000;-75,67717198;4,531889463;-75,67698878;4,532056355
31103701;19000;-75,67413791;4,529105436;-75,67455843;4,528732885
31103708;19000;-75,68176358;4,527213615;-75,68176358;4,527213615
31103722;19000;-75,68548789;4,522391398;-75,68548789;4,522391398
31103739;19000;-75,69003273;4,528459986;-75,69003273;4,528459986
31103753;19000;-75,67732436;4,529949682;-75,67683351;4,530360972
31103759;19000;-75,67732436;4,529949682;-75,67733172;4,529869237
31103768;19000;-75,68401819;4,527312901;-75,68401819;4,527312901
31103775;19000;-75,68161241;4,528058604;-75,68161241;4,528058604
31103647;19000;-75,68226165;4,527260685;-75,68226165;4,527260685
31103654;19000;-75,67692725;4,52846628;-75,67724941;4,528177612
31103661;19000;-75,67950214;4,529722476;-75,6789646;4,530519703
31103667;19000;-75,68856491;4,527695951;-75,68856491;4,527695951
31148835;19000;-75,67767924;4,396322584;-75,67767924;4,396322584
31148860;19000;-75,68913915;4,396034923;-75,68895002;4,395540958
31148869;19000;-75,67956458;4,412557396;-75,68022608;4,412350716
31148876;19000;-75,64550525;4,330518002;-75,64583125;4,328615626
31148887;19000;-75,68479135;4,403390258;-75,68470545;4,405502859
31148895;19000;-75,71719878;4,397265774;-75,71398921;4,39649324
31148080;19000;-75,70499329;4,335614604;-75,70499329;4,335614604
31148901;19000;-75,69023996;4,403700623;-75,68969252;4,40118272
31148910;19000;-75,68856637;4,393096591;-75,68856637;4,393096591
31148917;19000;-75,68195522;4,423508119;-75,68195522;4,423508119
31148935;19000;-75,69023996;4,403700623;-75,68846711;4,404338274
31148946;19000;-75,68356006;4,347590029;-75,68187284;4,347776744
31148954;19000;-75,68595159;4,388791132;-75,68701207;4,38615781
31148962;19000;-75,72590701;4,396610872;-75,72590701;4,396610872
31148235;19000;-75,68716667;4,390527778;-75,68716667;4,390527778
31148245;19000;-75,73046635;4,399608005;-75,73046635;4,399608005
31148252;19000;-75,67573022;4,342146644;-75,67488702;4,342270733
