FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
46729723;C-0849;RST;-75,68195878;4,423568659;600;CÓRDOBA;206-22-;VDA GUAYAQUIL ALTO FCA LA PALMA;EDEQ;C
46729739;C-0850;RST;-75,6819595;4,423551235;600;CÓRDOBA;206-22-;VDA GUAYAQUIL ALTO FCA LA PALMA;EDEQ;C
46355546;C-0832;RST;-75,74122571;4,544395317;630;MONTENEGRO;114-25-;350M ANTES DEL MORQ0008 FINCA ARAUCA VDA. LAJULIA;EDEQ;C
39948611;C-0689;RST;-75,67117111;4,53897611;600;ARMENIA;109-26-;CLL 12 # 18 48 ESQUINA;EDEQ;C
46208235;C-0815;RST;-75,68464268;4,548246934;630;ARMENIA;113-24-;;EDEQ;C
46208239;C-0814;RST;-75,68461057;4,548311909;630;ARMENIA;113-24-;;EDEQ;C
46909701;C-0920;STR;-75,82656454;4,455611853;630;MONTENEGRO;101-25-;VDA GUAYCO FCA VL RODAS;EDEQ;C
46909724;C-0921;RST;-75,82663521;4,455615857;630;MONTENEGRO;101-25-;VDA GUAYCO FCA VL RODAS;EDEQ;C
46909736;C-0922;RST;-75,82663508;4,455609137;630;MONTENEGRO;101-25-;VDA GUAYCO FCA VL RODAS;EDEQ;C
43244531;C-0769;RST;-75,65486536;4,495774282;600;CALARCÁ;205-23-;VEREDA PTO RICO FCA EL EDEN;EDEQ;C
43244532;C-0770;RST;-75,65491814;4,495835083;600;CALARCÁ;205-23-;REEMPLAZA LAS C-0296;EDEQ;C
43244534;C-0771;RST;-75,65493217;4,495778291;600;CALARCÁ;205-24-;VEREDA PTO RICO FCA EL EDEN;EDEQ;C
46208221;C-0813;RST;-75,68459115;4,548239467;630;ARMENIA;113-24-;;EDEQ;C
43237045;C-0782;STR;-75,76976548;4,618683838;600;QUIMBAYA;304-24-;SEDE ROTARIO VIA A ARMENIA;EDEQ;C
40015760;C-0688;RST;-75,76595556;4,554867865;200;MONTENEGRO;303-23-;LOC PUESTO POLICIA V BARAYA - MONTENEGRO - BARAYA ;EDEQ;C
40015502;C-0697;RST;-75,63358588;4,618939705;600;CIRCASIA;307-23-;CR 13 CL 5A;EDEQ;C
39464794;C-0479;RST;-75,65183098;4,562257546;630;ARMENIA;112-33;GLORITA LOS ABORIGENES CRA 14;EDEQ;C
30638119;C-0094;RST;-75,68702722;4,520611585;630;ARMENIA;110-32;SUBESTACION B10;EDEQ;C
30638120;C-0424;RST;-75,71589476;4,462804022;630;ARMENIA;110-32;AFLORAMIENTO 33 205-31;EDEQ;C
30638122;C-0267;RST;-75,69807998;4,481776637;630;CALARCÁ;110-32;LA YE;EDEQ;C
30638123;C-0046;RST;-75,7021897;4,486415878;630;ARMENIA;110-32;ANTES DEL PUENTE DE BALBOA;EDEQ;C
46686478;C-0821;RST;-75,69411704;4,539544089;630;ARMENIA;114-22-;;EDEQ;C
46686483;C-0819;RST;-75,69406565;4,539553854;630;ARMENIA;114-22-;;EDEQ;C
46686488;C-0820;RST;-75,69412527;4,539606276;630;ARMENIA;114-22-;;EDEQ;C
40241241;C-0460;RST;-75,79191179;4,636449932;600;QUIMBAYA;304-27-;VR COROZAL FC CORCEGA;EDEQ;C
40241245;C-0461;RST;-75,79190317;4,636404289;600;QUIMBAYA;304-27-;VR COROZAL FC CORCEGA;EDEQ;C
